futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／許基宏高飛犧牲 3局兄弟1比0富邦,富邦悍將中秋連假在新莊主場與中信兄弟3連戰，今（2）日首戰雙方皆派出洋投擔任先發，富邦推出羅力對上兄弟勝投王德保拉。兄弟3局高飛犧牲先馳得點，3局 ...,https://sports.ettoday.net/news/1823091
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職二軍／徐若熙火球連發、曾陶鎔砲轟兄弟 味全龍兩勝聽牌,... 局無失分，廖文揚9局登板，被中信兄弟黃鈞聲、曾頌恩「背靠背」全壘打，未能封鎖對手，最後再靠曹維揚登板解危。 味全龍全場掃17支安打，曾陶鎔先發指定 ...,https://sports.ettoday.net/news/1823112
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／雷艾斯被統一攻破 劉育辰：最強洋投還是索沙,中信兄弟今年靠著洋投群打天下，其中新洋投雷艾斯（Arturo Reyes）被球評稱讚是今年最強洋投，統一7-ELEVEn獅隊打擊教練劉育辰認為，目前中華職棒最強洋 ...,https://sports.ettoday.net/news/1823064
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／7分差滿壘派李振昌拆彈 丘總：棒球很難講,中信兄弟今（2日）9局下滿壘局面，最後仍派終結者李振昌關門，終場7比0擊敗富邦悍將，總教練丘昌榮表示，棒球很難講，振昌已經熱身，與其讓他等不如讓上場 ...,https://sports.ettoday.net/news/1823153
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／兄弟為總冠軍佈局 觀察下二軍蔡齊哲、陳子豪等6主力,中信兄弟1日球員異動，37歲投手官大元降下二軍，拉上調整不錯的謝榮豪，為了總冠軍賽觀察可用之兵，另外，現在二軍調整選手包含陳子豪、蘇緯達，還有3名牛 ...,https://sports.ettoday.net/news/1823045
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／謝榮豪休2個月才又丟球 想趕快歸隊一起拚戰,中信兄弟謝榮豪1日上一軍，他本季在一軍出賽25場，戰績1勝0敗1次救援成功，投了20.1局，防禦率3.98。他透露當時球速掉很多，在二軍調整2個月才又丟球。,https://sports.ettoday.net/news/1823089
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／雷艾斯右手肘緊繃被統一打爆 有機會投一休四對富邦,... △中信兄弟洋將雷艾斯。（圖／中信兄弟提供）. 記者賴冠文／新北報導. 中信兄弟洋投雷艾斯9月29日遭統一獅打爆，僅投2局失8分退場，總教練丘昌榮透露，雷 ...,https://sports.ettoday.net/news/1823037
HK.00267,中信股份,10/03/2020,2020年10月2日,新浪网,建行“空降兵”出任7万亿股份行副行长袁桂军履新民生银行,这家股份制银行迎来新任副行长！ 要参君. 今年8月3日，“行长要参”曾发表《独家！这家股份行迎新任常务副 ...,https://finance.sina.com.cn/money/bank/bank_hydt/2020-10-03/doc-iivhuipp7688281.shtml
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／從守位不固定到角逐金手套 高國麟最感謝教練團,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中信兄弟沒搶到富邦悍將確定網羅韓職勝投王 · 中信兄弟有共識古巴左投可能是今年阪神洋投 ...,https://sports.ettoday.net/news/1823105
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／蘇智傑本季首扛開路先鋒 餅總：保護陳傑憲,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1822911
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／曼恩中繼調度靈活 陳禹勳續任終結者,樂天桃猿洋投曼恩（Brandon Mann）先前在先發角色表現不穩定，目前轉戰牛棚，樂天總教練曾豪駒表示，曼恩目前定位是狀況性投球角色。 曼恩來台初登板對中信 ...,https://sports.ettoday.net/news/1823042
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,日職／陽岱鋼曬著太陽舒服開轟 二軍連10場安打,東森新媒體控股股份有限公司版權所有 ... 中信兄弟已找到第4號洋投不與羅傑斯續約 ... 走了米蘭達還有古巴左投中信兄弟傳以50萬美金簽前阪神賈西亞 ...,https://sports.ettoday.net/news/1823048
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／泰迪本周不投1休4 江辰晏、潘威倫二選一,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1823031
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／曼恩中繼調度靈活 陳禹勳續任終結者,樂天桃猿洋投曼恩（Brandon Mann）先前在先發角色表現不穩定，目前轉戰牛棚，樂天總教練曾豪駒表示，曼恩目前定位是狀況性投球角色。 曼恩來台初登板對中信 ...,https://sports.ettoday.net/news/1823042
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,日職／陽岱鋼曬著太陽舒服開轟 二軍連10場安打,東森新媒體控股股份有限公司版權所有 ... 中信兄弟已找到第4號洋投不與羅傑斯續約 ... 走了米蘭達還有古巴左投中信兄弟傳以50萬美金簽前阪神賈西亞 ...,https://sports.ettoday.net/news/1823048
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／泰迪本周不投1休4 江辰晏、潘威倫二選一,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1823031
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／曼恩中繼調度靈活 陳禹勳續任終結者,樂天桃猿洋投曼恩（Brandon Mann）先前在先發角色表現不穩定，目前轉戰牛棚，樂天總教練曾豪駒表示，曼恩目前定位是狀況性投球角色。 曼恩來台初登板對中信 ...,https://sports.ettoday.net/news/1823042
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,日職／陽岱鋼曬著太陽舒服開轟 二軍連10場安打,東森新媒體控股股份有限公司版權所有 ... 中信兄弟已找到第4號洋投不與羅傑斯續約 ... 走了米蘭達還有古巴左投中信兄弟傳以50萬美金簽前阪神賈西亞 ...,https://sports.ettoday.net/news/1823048
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／泰迪本周不投1休4 江辰晏、潘威倫二選一,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1823031
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／曼恩中繼調度靈活 陳禹勳續任終結者,樂天桃猿洋投曼恩（Brandon Mann）先前在先發角色表現不穩定，目前轉戰牛棚，樂天總教練曾豪駒表示，曼恩目前定位是狀況性投球角色。 曼恩來台初登板對中信 ...,https://sports.ettoday.net/news/1823042
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,日職／陽岱鋼曬著太陽舒服開轟 二軍連10場安打,東森新媒體控股股份有限公司版權所有 ... 中信兄弟已找到第4號洋投不與羅傑斯續約 ... 走了米蘭達還有古巴左投中信兄弟傳以50萬美金簽前阪神賈西亞 ...,https://sports.ettoday.net/news/1823048
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／泰迪本周不投1休4 江辰晏、潘威倫二選一,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1823031
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／曼恩中繼調度靈活 陳禹勳續任終結者,樂天桃猿洋投曼恩（Brandon Mann）先前在先發角色表現不穩定，目前轉戰牛棚，樂天總教練曾豪駒表示，曼恩目前定位是狀況性投球角色。 曼恩來台初登板對中信 ...,https://sports.ettoday.net/news/1823042
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,日職／陽岱鋼曬著太陽舒服開轟 二軍連10場安打,東森新媒體控股股份有限公司版權所有 ... 中信兄弟已找到第4號洋投不與羅傑斯續約 ... 走了米蘭達還有古巴左投中信兄弟傳以50萬美金簽前阪神賈西亞 ...,https://sports.ettoday.net/news/1823048
HK.00267,中信股份,10/03/2020,2020年10月2日,ETtoday,中職／泰迪本周不投1休4 江辰晏、潘威倫二選一,東森新媒體控股股份有限公司版權所有 © ETtoday.net All Rights ... 中職／中信兄弟調整牛棚陣容官大元降二軍 · 中職／中信兄弟國慶連假趴路跑女神李佳穎開球 ...,https://sports.ettoday.net/news/1823031
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
HK.00267,中信股份,10/03/2020,,,,,
