futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00011,恆生銀行,10/03/2020,2020年10月2日,hkcnews.com,滙豐如香港，死過可翻生！ | 鄭經翰,滙豐銀行股價最近持續下挫，跌破2008年金融海嘯後的供股價28元，跟紅頂白的 ... 滙豐連同其附屬銀行恆生，肯定是全港最多存戶的銀行，深受港人的愛戴，不單 ...,https://www.hkcnews.com/article/34450/hsbc-34452/%E6%BB%99%E8%B1%90%E5%A6%82%E9%A6%99%E6%B8%AF%EF%BC%8C%E6%AD%BB%E9%81%8E%E5%8F%AF%E7%BF%BB%E7%94%9F%EF%BC%81
HK.00011,恆生銀行,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【港元定期存款】3個月港元定存變新戰場最高息5.2厘- 香港 ...,雖然恒生的最新定存並非破頂息，但已令本周港元存息格價，加息的銀行驟增至4間，除了恒生外，虛擬銀行天星（Airstar）及大新 （02356） 亦加短存；招商永隆 ...,https://inews.hket.com/article/2767885/%E3%80%90%E6%B8%AF%E5%85%83%E5%AE%9A%E6%9C%9F%E5%AD%98%E6%AC%BE%E3%80%913%E5%80%8B%E6%9C%88%E6%B8%AF%E5%85%83%E5%AE%9A%E5%AD%98%E8%AE%8A%E6%96%B0%E6%88%B0%E5%A0%B4%E3%80%80%E6%9C%80%E9%AB%98%E6%81%AF5.2%E5%8E%98
HK.00011,恆生銀行,10/03/2020,2020年10月2日,經濟日報,亞洲股市本日收盤,個人理財 美股彈起 退休理財 銀行保險 基金天地 ... 亞洲股市本日收盤走勢慘淡香港恆生指數收高上漲0.71%上海綜合疲弱跌1.86% · 台股收盤速報大盤走弱研華、兆 ...,https://money.udn.com/money/story/12509/4905613
HK.00011,恆生銀行,10/03/2020,2020年10月2日,信報財經新聞,預防口罩肌三部曲- 信健康,恒生銀行與保柏推出全港最高保障額的自願醫保靈活計劃. △. 信報主頁 | 服務條款 | 私隱條款 | 免責聲明 | 聯絡信報. 本網站所提供之一切資訊僅供參考用途。本公司 ...,https://health.hkej.com/health/article?suid=2597317&subjectline=%E9%A0%90%E9%98%B2%E5%8F%A3%E7%BD%A9%E8%82%8C%E4%B8%89%E9%83%A8%E6%9B%B2
HK.00011,恆生銀行,10/03/2020,2020年10月2日,雅虎香港新聞,彭博專欄：成功控制新冠疫情 中國在經濟復甦的競賽中一馬當先,銀行石油股托市港股拗腰升43點. 港股在平安夜只有半日市，儘管重磅科網股集體捱沽，恒生指數周四在舊經濟股 ...,https://hk.finance.yahoo.com/news/%E5%BD%AD%E5%8D%9A%E5%B0%88%E6%AC%84-%E6%88%90%E5%8A%9F%E6%8E%A7%E5%88%B6%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85-%E4%B8%AD%E5%9C%8B%E5%9C%A8%E7%B6%93%E6%BF%9F%E5%BE%A9%E7%94%A6%E7%9A%84%E7%AB%B6%E8%B3%BD%E4%B8%AD-%E9%A6%AC%E7%95%B6%E5%85%88-091431546.html
HK.00011,恆生銀行,10/03/2020,2020年10月2日,Yahoo奇摩股市,iQOO 5 系列用行動證明自己並不只是大家觀念裡的「遊戲機」,銀行服務. 銀行服務. 匯率換算. 匯率換算 · 外幣投資. 外幣投資 · ATM轉帳 ... 東京股市日經225指數下跌1.0%，收26436.39點；香港恆生指數下滑0.7%，收26119.25 ...,https://tw.stock.yahoo.com/news/iqoo-5-iqoo-5-pro-mini-review-090059459.html
HK.00011,恆生銀行,10/03/2020,2020年10月2日,香港經濟日報 - 即時新聞,【台積電TSMC】紐時：中美科技戰愈演愈烈台積電左右為難 ...,... 製造依賴美國的設備和專業知識，令華府官員掌握世界各地半導體買家、賣家的生殺大權。 ... 【虛擬銀行】富融銀行正式開業推5厘港元定存、3個月利息475元.,https://inews.hket.com/article/2768054/%E3%80%90%E5%8F%B0%E7%A9%8D%E9%9B%BBTSMC%E3%80%91%E7%B4%90%E6%99%82%EF%BC%9A%E4%B8%AD%E7%BE%8E%E7%A7%91%E6%8A%80%E6%88%B0%E6%84%88%E6%BC%94%E6%84%88%E7%83%88%20%20%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%B7%A6%E5%8F%B3%E7%82%BA%E9%9B%A3
HK.00011,恆生銀行,10/03/2020,,,,,https://tw.stock.yahoo.com/news/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E%E7%AF%A9%E6%AA%A2-%E8%B3%80%E9%8C%A6%E9%BA%97%E5%91%88%E9%99%B0%E6%80%A7%E5%8F%8D%E6%87%89-143936980.html
HK.00011,恆生銀行,10/03/2020,2020年10月2日,立場新聞,【10.1 採訪紀錄】警銅鑼灣突拉橙帶圍堵傳媒定義「彈出彈入」 記協觀察員：封鎖區無必要| 立場報道,... 人士離開，兩隊防暴警員更於百德新街恆隆中心門外形成「包夾」之勢，並拉起橙帶。 ... 流亡抵英國許智峯：自己及家人銀行戶口被凍結涉款數百萬元為畢生積蓄.,https://www.thestandnews.com/politics/10-1-%E6%8E%A1%E8%A8%AA%E7%B4%80%E9%8C%84-%E8%AD%A6%E9%8A%85%E9%91%BC%E7%81%A3%E7%AA%81%E6%8B%89%E6%A9%99%E5%B8%B6%E5%9C%8D%E5%A0%B5-%E5%82%B3%E5%AA%92%E5%AE%9A%E7%BE%A9-%E5%BD%88%E5%87%BA%E5%BD%88%E5%85%A5-%E8%A8%98%E5%8D%94%E8%A7%80%E5%AF%9F%E5%93%A1-%E5%B0%81%E9%8E%96%E5%8D%80%E7%84%A1%E5%BF%85%E8%A6%81/
HK.00011,恆生銀行,10/03/2020,,,,,
