futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00066,港鐵公司,10/03/2020,2020年10月2日,晴報 Sky Post,【百佳口罩】百佳推出新款自家製口罩？ 傳職員戴百佳LOGO ...,港鐵亦正籌劃設立第二條生產線，希望於本年底投產，屆時總產量將足夠應付公司員工在香港日常的營運需要。 港鐵表示，口罩採用由理工大學專家研發的納米纖維 ...,https://skypost.ulifestyle.com.hk/article/2767818/%E3%80%90%E7%99%BE%E4%BD%B3%E5%8F%A3%E7%BD%A9%E3%80%91%E7%99%BE%E4%BD%B3%E6%8E%A8%E5%87%BA%E6%96%B0%E6%AC%BE%E8%87%AA%E5%AE%B6%E8%A3%BD%E5%8F%A3%E7%BD%A9%EF%BC%9F%20%E5%82%B3%E8%81%B7%E5%93%A1%E6%88%B4%E7%99%BE%E4%BD%B3LOGO%E5%8F%A3%E7%BD%A9%E7%B6%B2%E6%B0%91%E6%83%B3%E8%B2%B7%E3%80%90%E6%9B%B4%E6%96%B0%E7%99%BE%E4%BD%B3%E5%9B%9E%E8%A6%86%E3%80%91
HK.00066,港鐵公司,10/03/2020,2020年10月2日,巴士的報,西裝男戴「穿窿口罩」搭港鐵狂咳網民：嚇走乘客呃位坐,有網民擔心西裝男到處「播毒」. 因應新冠疫情的變化，政府早於7月已收緊「口罩令」，規定市民乘搭公共交通工具時必須佩戴口罩。有網民近日乘搭港鐵時，目睹 ...,https://www.bastillepost.com/hongkong/article/7234606-%E3%80%90juicy%E5%8F%AE%E3%80%91%E8%A5%BF%E8%A3%9D%E7%94%B7%E6%88%B4%E3%80%8C%E7%A9%BF%E7%AA%BF%E5%8F%A3%E7%BD%A9%E3%80%8D%E5%90%91%E4%B9%98%E5%AE%A2%E7%8B%82%E5%92%B3-%E7%B6%B2%E6%B0%91%E6%96%A5
HK.00066,港鐵公司,10/03/2020,,,,,https://hk.news.yahoo.com/%E8%B3%AA%E7%96%91%E9%8C%84%E9%9F%B3%E6%98%AF%E5%90%A6%E9%99%B3%E5%90%8C%E4%BD%B3%E6%9C%AC%E4%BA%BA-%E6%BD%98%E6%AF%8D%E4%BF%83%E7%9B%A1%E5%BF%AB%E5%AE%9A%E6%97%A5%E6%9C%9F%E5%B0%87%E8%B4%88%E6%A9%9F%E7%A5%A8-053300494.html
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,【限聚令】直擊逾30人本地團歎添好運遊海洋公園大律師指一 ...,香港01有限公司版權所有© 2020 ... 香港01有限公司版權所有© 2020 ... 《香港01》記者昨日（1日）於港鐵香港站機場快線出入口發現有群本地團遊客，吃「米芝蓮」 ...,https://www.hk01.com/%E7%A4%BE%E6%9C%83%E6%96%B0%E8%81%9E/531148/%E7%9B%B4%E6%93%8A%E9%80%BE30%E4%BA%BA%E6%9C%AC%E5%9C%B0%E5%9C%98-%E6%AD%8E%E6%B7%BB%E5%A5%BD%E9%81%8B%E9%81%8A%E6%B5%B7%E6%B4%8B%E5%85%AC%E5%9C%92-%E5%A4%A7%E5%BE%8B%E5%B8%AB-%E5%BD%B1%E5%9C%98%E9%AB%94%E7%9B%B8%E8%A6%81%E5%B0%8F%E5%BF%83
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港蘋果日報,將軍澳隧道轉車站首日「拍烏蠅」 截至傍晚6時僅千人用轉乘優惠限同巴士公司｜ 蘋果日報,黎認為，這熱門路線應成為「pilot scheme（試驗計劃）」，「除咗港鐵，呢條已經係唯一一條出返港島嘅線」，未來會爭取巴士公司為這類路線提供轉車站轉乘 ...,https://hk.appledaily.com/local/20201002/4CCUS3WUAVBQLEI55CKCBVMM3Q/
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,中環24歲男涉偷拍裙底被捕,香港01有限公司版權所有© 2020. 登入/ 註冊 ... 2020-12-21. 北角港鐵站女子被偷拍裙底37歲男被捕 ... 2020-11-18. 港鐵調景嶺站女子遭偷拍裙底警拘26歲男色狼 ...,https://www.hk01.com/%E7%AA%81%E7%99%BC/531192/%E4%B8%AD%E7%92%B024%E6%AD%B2%E7%94%B7%E6%B6%89%E5%81%B7%E6%8B%8D%E8%A3%99%E5%BA%95%E8%A2%AB%E6%8D%95
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,十一黃金周首日僅1.55萬人次到訪澳門按年瀉88.5%,香港01有限公司版權所有© 2020. 登入/ 註冊 ... 2020-10-05. 港鐵﹕6月本地服務人次1.1億按月升13.4% ... 2020-09-23. 港鐵3月份乘客量連跌9個月按年跌42% ...,https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/531098/%E5%8D%81%E4%B8%80%E9%BB%83%E9%87%91%E5%91%A8%E9%A6%96%E6%97%A5-%E5%83%851-55%E8%90%AC%E4%BA%BA%E6%AC%A1%E5%88%B0%E8%A8%AA%E6%BE%B3%E9%96%80-%E6%8C%89%E5%B9%B4%E7%80%8988-5
HK.00066,港鐵公司,10/03/2020,2020年10月2日,雅虎香港新聞,HP 新推一批獲得 Intel Evo 認證的 Spectre、Envy 筆電,... 台灣今天通報一名本土新冠確診例，原因是一名隸屬台灣某航空公司的紐西蘭籍 ... 東網專訊】反修例示威期間，明愛醫院廁所、深圳灣口岸的垃圾桶及港鐵羅湖站 ...,https://hk.news.yahoo.com/hp-%E6%96%B0%E6%8E%A8-%E6%89%B9%E7%8D%B2%E5%BE%97-intel-evo-123039104.html
HK.00066,港鐵公司,10/03/2020,,,,,https://hk.news.yahoo.com/10%E6%9C%882%E6%97%A5%E7%96%AB%E6%83%85%E9%80%9F%E5%A0%B1-13-05-050534783.html
HK.00066,港鐵公司,10/03/2020,2020年10月2日,雅虎香港新聞,警不點名批《蘋果日報》有關12偷渡港人報道失實 指控毫無根據,Reuters創立於1989年的長榮航空。 台灣長榮航空確診的外籍機師，因為執勤時數次未配戴口罩，截至目前已傳染給兩名該公司機師 ...,https://hk.news.yahoo.com/%E8%AD%A6%E4%B8%8D%E9%BB%9E%E5%90%8D%E6%89%B9-%E8%98%8B%E6%9E%9C%E6%97%A5%E5%A0%B1-%E6%9C%89%E9%97%9C12%E5%81%B7%E6%B8%A1%E6%B8%AF%E4%BA%BA%E5%A0%B1%E9%81%93%E5%A4%B1%E5%AF%A6-%E6%8C%87%E6%8E%A7%E6%AF%AB%E7%84%A1%E6%A0%B9%E6%93%9A-144216176.html
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,2020年10月2日,晴報 Sky Post,【百佳口罩】百佳推出新款自家製口罩？ 傳職員戴百佳LOGO ...,港鐵亦正籌劃設立第二條生產線，希望於本年底投產，屆時總產量將足夠應付公司員工在香港日常的營運需要。 港鐵表示，口罩採用由理工大學專家研發的納米纖維 ...,https://skypost.ulifestyle.com.hk/article/2767818/%E3%80%90%E7%99%BE%E4%BD%B3%E5%8F%A3%E7%BD%A9%E3%80%91%E7%99%BE%E4%BD%B3%E6%8E%A8%E5%87%BA%E6%96%B0%E6%AC%BE%E8%87%AA%E5%AE%B6%E8%A3%BD%E5%8F%A3%E7%BD%A9%EF%BC%9F%20%E5%82%B3%E8%81%B7%E5%93%A1%E6%88%B4%E7%99%BE%E4%BD%B3LOGO%E5%8F%A3%E7%BD%A9%E7%B6%B2%E6%B0%91%E6%83%B3%E8%B2%B7%E3%80%90%E6%9B%B4%E6%96%B0%E7%99%BE%E4%BD%B3%E5%9B%9E%E8%A6%86%E3%80%91
HK.00066,港鐵公司,10/03/2020,2020年10月2日,巴士的報,西裝男戴「穿窿口罩」搭港鐵狂咳網民：嚇走乘客呃位坐,有網民擔心西裝男到處「播毒」. 因應新冠疫情的變化，政府早於7月已收緊「口罩令」，規定市民乘搭公共交通工具時必須佩戴口罩。有網民近日乘搭港鐵時，目睹 ...,https://www.bastillepost.com/hongkong/article/7234606-%E3%80%90juicy%E5%8F%AE%E3%80%91%E8%A5%BF%E8%A3%9D%E7%94%B7%E6%88%B4%E3%80%8C%E7%A9%BF%E7%AA%BF%E5%8F%A3%E7%BD%A9%E3%80%8D%E5%90%91%E4%B9%98%E5%AE%A2%E7%8B%82%E5%92%B3-%E7%B6%B2%E6%B0%91%E6%96%A5
HK.00066,港鐵公司,10/03/2020,,,,,https://hk.news.yahoo.com/%E8%B3%AA%E7%96%91%E9%8C%84%E9%9F%B3%E6%98%AF%E5%90%A6%E9%99%B3%E5%90%8C%E4%BD%B3%E6%9C%AC%E4%BA%BA-%E6%BD%98%E6%AF%8D%E4%BF%83%E7%9B%A1%E5%BF%AB%E5%AE%9A%E6%97%A5%E6%9C%9F%E5%B0%87%E8%B4%88%E6%A9%9F%E7%A5%A8-053300494.html
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,【限聚令】直擊逾30人本地團歎添好運遊海洋公園大律師指一 ...,香港01有限公司版權所有© 2020 ... 香港01有限公司版權所有© 2020 ... 《香港01》記者昨日（1日）於港鐵香港站機場快線出入口發現有群本地團遊客，吃「米芝蓮」 ...,https://www.hk01.com/%E7%A4%BE%E6%9C%83%E6%96%B0%E8%81%9E/531148/%E7%9B%B4%E6%93%8A%E9%80%BE30%E4%BA%BA%E6%9C%AC%E5%9C%B0%E5%9C%98-%E6%AD%8E%E6%B7%BB%E5%A5%BD%E9%81%8B%E9%81%8A%E6%B5%B7%E6%B4%8B%E5%85%AC%E5%9C%92-%E5%A4%A7%E5%BE%8B%E5%B8%AB-%E5%BD%B1%E5%9C%98%E9%AB%94%E7%9B%B8%E8%A6%81%E5%B0%8F%E5%BF%83
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港蘋果日報,將軍澳隧道轉車站首日「拍烏蠅」 截至傍晚6時僅千人用轉乘優惠限同巴士公司｜ 蘋果日報,黎認為，這熱門路線應成為「pilot scheme（試驗計劃）」，「除咗港鐵，呢條已經係唯一一條出返港島嘅線」，未來會爭取巴士公司為這類路線提供轉車站轉乘 ...,https://hk.appledaily.com/local/20201002/4CCUS3WUAVBQLEI55CKCBVMM3Q/
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,中環24歲男涉偷拍裙底被捕,香港01有限公司版權所有© 2020. 登入/ 註冊 ... 2020-12-21. 北角港鐵站女子被偷拍裙底37歲男被捕 ... 2020-11-18. 港鐵調景嶺站女子遭偷拍裙底警拘26歲男色狼 ...,https://www.hk01.com/%E7%AA%81%E7%99%BC/531192/%E4%B8%AD%E7%92%B024%E6%AD%B2%E7%94%B7%E6%B6%89%E5%81%B7%E6%8B%8D%E8%A3%99%E5%BA%95%E8%A2%AB%E6%8D%95
HK.00066,港鐵公司,10/03/2020,2020年10月2日,香港01,十一黃金周首日僅1.55萬人次到訪澳門按年瀉88.5%,香港01有限公司版權所有© 2020. 登入/ 註冊 ... 2020-10-05. 港鐵﹕6月本地服務人次1.1億按月升13.4% ... 2020-09-23. 港鐵3月份乘客量連跌9個月按年跌42% ...,https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/531098/%E5%8D%81%E4%B8%80%E9%BB%83%E9%87%91%E5%91%A8%E9%A6%96%E6%97%A5-%E5%83%851-55%E8%90%AC%E4%BA%BA%E6%AC%A1%E5%88%B0%E8%A8%AA%E6%BE%B3%E9%96%80-%E6%8C%89%E5%B9%B4%E7%80%8988-5
HK.00066,港鐵公司,10/03/2020,2020年10月2日,雅虎香港新聞,HP 新推一批獲得 Intel Evo 認證的 Spectre、Envy 筆電,... 台灣今天通報一名本土新冠確診例，原因是一名隸屬台灣某航空公司的紐西蘭籍 ... 東網專訊】反修例示威期間，明愛醫院廁所、深圳灣口岸的垃圾桶及港鐵羅湖站 ...,https://hk.news.yahoo.com/hp-%E6%96%B0%E6%8E%A8-%E6%89%B9%E7%8D%B2%E5%BE%97-intel-evo-123039104.html
HK.00066,港鐵公司,10/03/2020,,,,,https://hk.news.yahoo.com/10%E6%9C%882%E6%97%A5%E7%96%AB%E6%83%85%E9%80%9F%E5%A0%B1-13-05-050534783.html
HK.00066,港鐵公司,10/03/2020,2020年10月2日,雅虎香港新聞,警不點名批《蘋果日報》有關12偷渡港人報道失實 指控毫無根據,Reuters創立於1989年的長榮航空。 台灣長榮航空確診的外籍機師，因為執勤時數次未配戴口罩，截至目前已傳染給兩名該公司機師 ...,https://hk.news.yahoo.com/%E8%AD%A6%E4%B8%8D%E9%BB%9E%E5%90%8D%E6%89%B9-%E8%98%8B%E6%9E%9C%E6%97%A5%E5%A0%B1-%E6%9C%89%E9%97%9C12%E5%81%B7%E6%B8%A1%E6%B8%AF%E4%BA%BA%E5%A0%B1%E9%81%93%E5%A4%B1%E5%AF%A6-%E6%8C%87%E6%8E%A7%E6%AF%AB%E7%84%A1%E6%A0%B9%E6%93%9A-144216176.html
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,,,,,
HK.00066,港鐵公司,10/03/2020,2020年10月2日,晴報 Sky Post,【百佳口罩】百佳推出新款自家製口罩？ 傳職員戴百佳LOGO ...,港鐵亦正籌劃設立第二條生產線，希望於本年底投產，屆時總產量將足夠應付公司員工在香港日常的營運需要。 港鐵表示，口罩採用由理工大學專家研發的納米纖維 ...,https://skypost.ulifestyle.com.hk/article/2767818/%E3%80%90%E7%99%BE%E4%BD%B3%E5%8F%A3%E7%BD%A9%E3%80%91%E7%99%BE%E4%BD%B3%E6%8E%A8%E5%87%BA%E6%96%B0%E6%AC%BE%E8%87%AA%E5%AE%B6%E8%A3%BD%E5%8F%A3%E7%BD%A9%EF%BC%9F%20%E5%82%B3%E8%81%B7%E5%93%A1%E6%88%B4%E7%99%BE%E4%BD%B3LOGO%E5%8F%A3%E7%BD%A9%E7%B6%B2%E6%B0%91%E6%83%B3%E8%B2%B7%E3%80%90%E6%9B%B4%E6%96%B0%E7%99%BE%E4%BD%B3%E5%9B%9E%E8%A6%86%E3%80%91
HK.00066,港鐵公司,10/03/2020,2020年10月2日,巴士的報,西裝男戴「穿窿口罩」搭港鐵狂咳網民：嚇走乘客呃位坐,有網民擔心西裝男到處「播毒」. 因應新冠疫情的變化，政府早於7月已收緊「口罩令」，規定市民乘搭公共交通工具時必須佩戴口罩。有網民近日乘搭港鐵時，目睹 ...,https://www.bastillepost.com/hongkong/article/7234606-%E3%80%90juicy%E5%8F%AE%E3%80%91%E8%A5%BF%E8%A3%9D%E7%94%B7%E6%88%B4%E3%80%8C%E7%A9%BF%E7%AA%BF%E5%8F%A3%E7%BD%A9%E3%80%8D%E5%90%91%E4%B9%98%E5%AE%A2%E7%8B%82%E5%92%B3-%E7%B6%B2%E6%B0%91%E6%96%A5
HK.00066,港鐵公司,10/03/2020,,,,,https://hk.news.yahoo.com/%E8%B3%AA%E7%96%91%E9%8C%84%E9%9F%B3%E6%98%AF%E5%90%A6%E9%99%B3%E5%90%8C%E4%BD%B3%E6%9C%AC%E4%BA%BA-%E6%BD%98%E6%AF%8D%E4%BF%83%E7%9B%A1%E5%BF%AB%E5%AE%9A%E6%97%A5%E6%9C%9F%E5%B0%87%E8%B4%88%E6%A9%9F%E7%A5%A8-053300494.html
