futu stock ID,stock,date_tuple,news_time_str,news_source_str,news_title_str,news_preview_str,news_url_str
HK.00001,長和,10/03/2020,2020年10月2日,UDN 聯合新聞網,浮虧逾3.億！李嘉誠父子護盤 狂掃長實集團,長和集團李嘉誠（右）、李澤鉅（左）。（本報資料照片 ... 如果按照9月30日長實集團港幣37.75元收盤價計算，父子二人今年已經浮虧約港幣3.1億元。 在業績失利 ...,https://udn.com/news/story/7333/4905369
HK.00001,長和,10/03/2020,,,,,http://www.xinhuanet.com/tw/2020-10/02/c_1126570066.htm
HK.00001,長和,10/03/2020,2020年10月2日,路透,美国副总统彭斯和美国财长努钦的新冠病毒测试均呈阴性--发言人,路透华盛顿10月2日- 一位女发言人周五表示，美国财政部长努钦的新冠病毒测试呈阴性。当日稍早，特朗普表示，他和他的夫人梅拉尼娅新冠病毒测试呈阳性，并将 ...,https://cn.reuters.com/article/us-pence-mnuchin-covid-test-003-idCNKBS26N3OF
HK.00001,長和,10/03/2020,,,,,https://www.sohu.com/a/422402702_162758
HK.00001,長和,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00001,長和,10/03/2020,2020年10月2日,Yahoo奇摩股市,《基金》債券ETF前十強 今年來績效15％起跳,群益投信表示，在市場對於疫情再起的擔憂和經濟復甦力道是否延續的疑慮再起之 ... 以過去幾次面對市場風險時來看，美國長債避險特性獲青睞，表現抗震，美國 ...,https://tw.stock.yahoo.com/news/%E5%9F%BA%E9%87%91-%E5%82%B5%E5%88%B8etf%E5%89%8D%E5%8D%81%E5%BC%B7-%E4%BB%8A%E5%B9%B4%E4%BE%86%E7%B8%BE%E6%95%8815-%E8%B5%B7%E8%B7%B3-085323587.html
HK.00001,長和,10/03/2020,,,,,http://www.nbd.com.cn/articles/2020-10-02/1516786.html
HK.00001,長和,10/03/2020,2020年10月2日,http://zh.vietnamplus.vn/,ASEAN 2020：第六届东盟财政部长和央行行长会议发表联合声明,会议上，东盟各国财政部长和央行行长与国际金融机构代表就该地区乃至全球宏观经济情况、应对新冠肺炎疫情的政策以及疫情过后经济复苏计划等问题进行对话。,https://zh.vietnamplus.vn/asean-2020%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%9C%E7%9B%9F%E8%B4%A2%E6%94%BF%E9%83%A8%E9%95%BF%E5%92%8C%E5%A4%AE%E8%A1%8C%E8%A1%8C%E9%95%BF%E4%BC%9A%E8%AE%AE%E5%8F%91%E8%A1%A8%E8%81%94%E5%90%88%E5%A3%B0%E6%98%8E/127902.vnp
HK.00001,長和,10/03/2020,2020年10月2日,東森新聞,川普確診 美專家：恐一週後才現症狀,前國土安全部長尼爾森（Kirstjen Nielsen）的幕僚長泰勒（Miles Taylor）表示，川普確診後，美國國安隱憂的最壞劇本是，要設想川普可能因病無法視事，副總統 ...,https://news.ebc.net.tw/news/world/229572
HK.00001,長和,10/03/2020,2020年10月2日,China Press,北马疫急 吉增129确诊128宗属於围墙感染群|中國報,（槟城2日讯）巴士乘客口罩没戴好，还在禁烟区违例抽烟！随着新冠肺炎确诊病例单日内剧增，交通部长拿督斯里魏家祥昨日敦促所有机场和车站营运商，包括公共 ...,https://penang.chinapress.com.my/20201002/%E2%97%A4%E5%8C%97%E9%A9%AC%E7%96%AB%E6%80%A5%E2%97%A2-%E5%90%89%E5%A2%9E129%E7%A1%AE%E8%AF%8A-128%E5%AE%97%E5%B1%9E%E6%96%BC%E5%9B%B4%E5%A2%99%E6%84%9F%E6%9F%93%E7%BE%A4/
HK.00001,長和,10/03/2020,,,,,
HK.00001,長和,10/03/2020,,,,,
HK.00001,長和,10/03/2020,,,,,
HK.00001,長和,10/03/2020,,,,,
HK.00001,長和,10/03/2020,2020年10月2日,UDN 聯合新聞網,浮虧逾3.億！李嘉誠父子護盤 狂掃長實集團,長和集團李嘉誠（右）、李澤鉅（左）。（本報資料照片 ... 如果按照9月30日長實集團港幣37.75元收盤價計算，父子二人今年已經浮虧約港幣3.1億元。 在業績失利 ...,https://udn.com/news/story/7333/4905369
HK.00001,長和,10/03/2020,,,,,http://www.xinhuanet.com/tw/2020-10/02/c_1126570066.htm
HK.00001,長和,10/03/2020,2020年10月2日,路透,美国副总统彭斯和美国财长努钦的新冠病毒测试均呈阴性--发言人,路透华盛顿10月2日- 一位女发言人周五表示，美国财政部长努钦的新冠病毒测试呈阴性。当日稍早，特朗普表示，他和他的夫人梅拉尼娅新冠病毒测试呈阳性，并将 ...,https://cn.reuters.com/article/us-pence-mnuchin-covid-test-003-idCNKBS26N3OF
HK.00001,長和,10/03/2020,,,,,https://www.sohu.com/a/422402702_162758
HK.00001,長和,10/03/2020,,,,,http://www.chinanews.com/gn/2020/10-02/9305428.shtml
HK.00001,長和,10/03/2020,2020年10月2日,Yahoo奇摩股市,《基金》債券ETF前十強 今年來績效15％起跳,群益投信表示，在市場對於疫情再起的擔憂和經濟復甦力道是否延續的疑慮再起之 ... 以過去幾次面對市場風險時來看，美國長債避險特性獲青睞，表現抗震，美國 ...,https://tw.stock.yahoo.com/news/%E5%9F%BA%E9%87%91-%E5%82%B5%E5%88%B8etf%E5%89%8D%E5%8D%81%E5%BC%B7-%E4%BB%8A%E5%B9%B4%E4%BE%86%E7%B8%BE%E6%95%8815-%E8%B5%B7%E8%B7%B3-085323587.html
HK.00001,長和,10/03/2020,,,,,http://www.nbd.com.cn/articles/2020-10-02/1516786.html
